machine_id,timestamp,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,ambient_temp,load,failure
M000,2024-01-01T00:00:00,0.5301114599854992,-0.4644516208068602,1.5947983016878837,1.0347398893031547,-2.2951051602857255,25.267711462343836,0.5280588357034511,0
M000,2024-01-01T00:15:00,0.15406631156327938,-1.2470999280323385,0.6784022959607693,1.2302111285566488,-1.9511291540425628,23.964346247174188,0.3987975582943465,0
M000,2024-01-01T00:30:00,0.1327811168951857,-1.0796056535598924,1.2510185359596497,0.9494994157622215,-1.7034218709692488,23.815056233582975,0.5052324856651442,0
M000,2024-01-01T00:45:00,0.061105670256458994,-0.4249299685838469,0.4742235581183691,1.1619638204412592,-2.269121877702274,25.384950966105862,0.6265043153512865,0
M000,2024-01-01T01:00:00,0.26644473177655476,-1.2599071969432134,0.8544612223303091,0.7739220152181218,-2.3659254534063408,25.17258791772212,0.8868636884615653,0
M000,2024-01-01T01:15:00,0.32667097368921644,-1.099062386147361,0.8063874037664478,1.3022175818324033,-1.9324289738670093,26.10628871005989,0.714313465769242,0
M000,2024-01-01T01:30:00,0.7394002872159826,-1.0085005571478243,0.35329885236953484,0.4999692995466563,-1.5029653446067912,24.8204807867174,0.5925219018296018,0
M000,2024-01-01T01:45:00,0.7171067772898456,-1.3955845929274426,0.452221456198937,1.1034150977270691,-2.116625261134043,24.83655710147549,0.70063618231984,0
M000,2024-01-01T02:00:00,0.7009180480113,-1.0362954162438724,0.9138211998687422,0.295365429011049,-2.0128592448552016,23.781186939576372,0.5182771449606874,0
M000,2024-01-01T02:15:00,0.17843645740694136,-0.7887001256075923,0.3227217465638157,0.919606507098681,-2.1434945542762396,26.002757825304606,0.7307173155505889,0
M000,2024-01-01T02:30:00,0.679892921850008,-1.1098225920893663,0.511856778384474,0.8432594142562059,-1.9254946868947997,23.915611927766633,0.6635734672441812,0
M000,2024-01-01T02:45:00,0.3471419886588565,-0.3082286770542201,1.283692945270186,0.6544440541527098,-2.084458732740919,24.40929298603651,0.697340750538551,0
M000,2024-01-01T03:00:00,0.640429575883655,-1.2821960396374787,0.5243956298653459,0.2662303503987593,-2.0470435004396386,24.470560572633925,0.5184708832748618,0
M000,2024-01-01T03:15:00,0.2503947233414179,-1.5907894057213854,0.28052598826838776,1.5491911929288453,-2.3844704986583753,26.836913528321315,1.085760075386061,0
M000,2024-01-01T03:30:00,-0.07279649903041752,-1.1739455753508052,0.8231062271678378,1.4290263526420335,-2.2943008478046374,25.777337576061743,0.7152149111699928,0
M000,2024-01-01T03:45:00,0.1658266682481552,-1.1036177776692084,0.3081708193746904,0.8389649361279562,-2.0781599712788528,24.444672781180984,0.7207307783817709,0
